Title,Description,Author,Editors,Date,Keywords,Publisher,Relation-Is Part Of,Source,Contributing Institution,Resource Identifier,Rights,Standardized Rights,Type,Format Digital,Language,Date Digital,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Seaward Migration of Dworshak Hatchery Steelhead Trout in 1977 as Related to Rearing History,This report evaluates selected procedures for rearing and releasing steelhead trout at Dworshak National Fish Hatchery.,"Bjornn, T.C.; Hiebert, P.; Ringe, R.R.",,1979-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - June 1979 (No. 10),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr10,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/129,129,215.pdf,/fwres/image/215.pdf
Updating Forest Road Maps with Panoramic Aerial Photography,The report discusses the use of panoramic high-altitude air photographs to clearly depict forest roads and trails using a conventional image-transfer device to compensate for panoramic distortion.,"Befort, W.A.; Heller, R.C.; Ulliman, J.J.",,1980-06-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - June 1980 (No. 12),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr12,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/130,130,216.pdf,/fwres/image/216.pdf
Sites Characteristic of Lodgepole Pine and Stalactiform Blister Rust,The report presents the results of a study establishing the distribution of stalactiform blister rust in Idaho lodgepole pine forests and the environmental conditions in which the rust disease occurs.,"Beard, T.H.; Martin, N.E.",,1981-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - February 1981 (No. 13),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr13,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/131,131,217.pdf,/fwres/image/217.pdf
Simplified Field Viewer for Panoramic Transparencies,The report provides information about a new field stereoviewing apparatus that employs commercially available stereoscopic eyeglasses instead of a conventional stereoscope.,"Befort, William A.",,1981-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - September 1981 (No. 14),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr14,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/132,132,218.pdf,/fwres/image/218.pdf
User's Manual for Program Home Range Second Edition,"The manual contains a discussion of the philosophy of home range estimation and a brief review of the estimation methods, including their assumptions. It provides instructions for using program HOME RANGE and a description of input/output formats.","Ackerman, Bruce; Leban, Frederick; Samuel, Michael; Garton, Edward",,1990-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - May 1990 (No. 15),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr15,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/133,133,219.pdf,/fwres/image/219.pdf
Big Game-Livestock Relationships on the Bighorn Sheep Winter Range East Fork Salmon River Idaho,"The bulletin presents a historical record, description of habitat, and outline of winter range use patterns and relationships of bighorn sheep to mule deer and livestock for the East Fork Salmon River.","Lauer, Jerry L.; Peek, James M.",,1976-07-01,Ovis canadensis; Odocoileus hemionus; big game livestock;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 12,"Idaho SD12.I2 B8, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b12,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/134,134,22.pdf,/fwres/image/22.pdf
User's Manual for Program Home Range,The manual outlines the HOME RANGE program used to calculate the area of an individual animal's normal activities.,"Samuel, Michael D.; John, D.; Garton, Edward O.; Nelson, Louis J.; Dixon, Kenneth R.",,1983-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - August 1983 (No. 15),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr15-1983,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/135,135,220.pdf,/fwres/image/220.pdf
First Season Survival and Growth of Douglas-fir Planted in North Idaho Shrubfields,"The report discusses an experiment that compared first year survival, growth, and animal damage of Douglas fir seedlings planted under dense shrub competition against Douglas firs planted on adjacent cleared areas.","Christianson, Steven P.; Adams, David L.; Adams, Russell T.",,1984-07-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - July 1984 (No. 16),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr16,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/136,136,221.pdf,/fwres/image/221.pdf
Using Environmental Assessments to Implement USDA Forest Service Timber Sale Policies,This report contains a study that examines USDA Forest Service timber sale environmental assessments as policy communication tools for sale implementation.,"Carbone, Joseph C.; Force, Jo Ellen",,1985-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - August 1985 (No. 17),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr17,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/137,137,222.pdf,/fwres/image/222.pdf
Results of a Survey on Public Participation in National Forest Planning Processes,"The report provides the results of a survey addressing what kinds of people are participating in Forest Service planning and decision-making, why they get involved, and what methods of participation they prefer.","Williams, Kevin L.; Force, Jo Ellen",,1985-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - December 1985 (No. 18),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr18,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/138,138,223.pdf,/fwres/image/223.pdf
Results of a Survey on Residential Wood Energy Use in Idaho,The report presents information about the use of wood energy for residential heating throughout the state of Idaho.,"Force, Jo Ellen",,1986-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - March 1986 (No. 19),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr19,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/139,139,224.pdf,/fwres/image/224.pdf
Aquatic Studies with Silicone Antitranspirant,The report discusses the effect of silicone antitranspirant on insect drift to determine whether the stream fish that consume aquatic insects could be indirectly affected.,"MacPhee, Craig; Cheng, Fong-chian",,1976-01-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Technical Report - 1976 (No. 03),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences",uifwre-tr03,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/140,140,225.pdf,/fwres/image/225.pdf
Manufacturing and Marketing of Wood Fuel Pellets,"The report is a combination of papers developed by the students of the ""Topics in Forest Industry Management Course."" It is a relatively extensive document of background information concerning the manufacturing and marketing of wood fuel pellets.","Folk, Richard L.; Govett, Robert L.; Aldrich, Luke A.; Almeida, Elisabete Brocki de; Carey, Patricio S.; Cohen, David H.; Cortes, Marcial M.; Fabricius, Jon M.; Koon, Anthony G.; Pence, Don N.; Ritter, David C.; Sim, Heok Choh",,1987-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - January 1987 (No. 20),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Science",uifwre-tr20,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/141,141,226.pdf,/fwres/image/226.pdf
Opinions and Preferences of Idaho Hunters With and Without Supplemental Information,"The report presents the findings of a questionnaire survey designed to obtain a description of the people who hunt in Idaho, their hunting activities, and their opinions on important issues related to hunting and management of wildlife in Idaho. A second questionnaire containing supplemental information was sent to a separate group to determine if the additional information would affect responses.","Bjornn, T.C.",,1975-01-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Technical Report - 1975 (No. 04),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences",uifwre-tr04,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/142,142,227.pdf,/fwres/image/227.pdf
Seed Wafer Research at the University of Idaho: A ten-Year Summary,The report summarizes the development of the seed wafer (encapsulation of a seed in a wafer to provide a favorable environment for germination) at the University of Idaho.,"Adams, David L.; Dirks, Carl E.; Powell, Luke P.",,1990-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - May 1990 (No.21),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Science",uifwre-tr21,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/143,143,228.pdf,/fwres/image/228.pdf
An Overview of Cogeneration Technologies,The report investigates the use of wood residues for cogeneration of process steam and electricity. It discusses the characteristics and operations of various topping-cycle and bottoming-cycle technologies for cogeneration.,"Meimban, Julian J., III.; Govett, Robert L.; Gorman, Thomas M.; Johnson, Leonard R.",,1991-02-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Technical Report - February 1991 (No. 23),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Science",uifwre-tr23feb,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/144,144,229.pdf,/fwres/image/229.pdf
Timber Supply Projections For The State Of Idaho,The bulletin describes a study to determine the current and expected future timber supplies on commercial forest land within the state of Idaho.,"Hatch, Charles R.; Allen, Gerald M.; Houck, Geoffrey L.; Sowles, Kenneth M.",,1976-12-01,timber supply; timber production;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 15,"Idaho SD12.I2 B8, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b15,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/145,145,23.pdf,/fwres/image/23.pdf
Testing Wilderness Discovery,"The report outlines the Wilderness Discovery program, a wilderness experience program designed to empower and strengthen the skills and motivation of youth-at-risk in the federal Job Corps. The report describes how the program works, its impact on the students, and costs and benefits of the program.","Russel, Keith C.; Hendee, John C.",,1997-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - April 1997 (No.24),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr24,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/146,146,230.pdf,/fwres/image/230.pdf
Assessing Habitat Quality Using Population Fitness Parameters: A Remote Sensing/GIS-Based Habitat-Explicit Population Model for Sage Grouse (Centrocercus urophasianus),The report describes a Habitat-Explicit Population Model developed to assess habitat quality for sage grouse at the landscape scale using a Geographic Information System (GIS).,"Edelmann, Frank B.; Ulliman, Mark J.; Wisdom, Michael J.; Reese, Kerry P.; Connelly, John W.",,1998-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - May 1998 (No.25),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-tr25,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/147,147,231.pdf,/fwres/image/231.pdf
Resultats D'une Enquete Sur La Participation Des Villageois Dans L'Amenagement Des Forets Au Mali (Points De Vue Agents Des Eaux Et Forets Maliens),"The report describes a study conducted in Mali to determine the opinions of forest employees about public involvement, the reasons that villagers are or aren't involved in the management of their forests, and the ways to best encourage the villagers to consciously maintain a balance between their needs and ecological needs.","Force, Jo Ellen",,1990-07-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Technical Report - July 1990 (No.22),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Science",uifwre-tr22,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,french,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/148,148,232.pdf,/fwres/image/232.pdf
Veneer Block Conditioning Manual For Veneer and Plywood Production Personnel,"The report examines the costs and benefits of wood block conditioning, heat-conditioning systems, energy demand, target temperatures, and conditioning times.","Steinhagen, H. Peter",,1991-09-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Technical Report - September 1991 (No. 23),"Idaho SD12 I2 U37, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Science",uifwre-tr23,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/149,149,233.pdf,/fwres/image/233.pdf
Transport of Granitic Sediment in Streams and Its Effects on Insects and Fish,The bulletin presents information about the amounts of fine sediment in streams that had detrimental impacts on aquatic insects and juvenile fish and the ability of streams to transport such sediment.,"Bjornn, T.C.; Brusven, M.A.; Molnau, M.P.; Milligan, J.H.; Klamt, R.A.; Chacho, E.; Schaye, C.",D.L. Kibbee,1977-09-01,sediments;,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 17, September 1977","Idaho SD12.I2, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b17,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/150,150,24.pdf,/fwres/image/24.pdf
Two-Year Response of North Idaho Stands of Douglas-Fir and Grand Fir to Urea Fertilizer and Thinning,"The bulletin reports a study of the 2-year response of Douglas fir and grand fir on three geologic rock types to fertilization using nitrogen, to thinning, and to the combination of fertilization and thinning.","Scanlin, David C.; Loewenstein, Howard; Pitkin, Franklin H.",,1976-12-01,urea fertilisers; rocks;,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 18, December 1976","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b18,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/151,151,25.pdf,/fwres/image/25.pdf
Taxonomy of the Artemisia Tridentate Complex in Idaho,The bulletin summarizes a study undertaken to clarify some of the taxonomic problems of the woody members of the genus Artemisia with a focus on the A. tridentata (big sagebrush) group.,"Winward, A.H.; Tisdale, E.W.",,1977-05-01,Artemisia; Artemisia tridentata; big sagebrush;,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 19, May 1977","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b19,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/152,152,26.pdf,/fwres/image/26.pdf
Off-Road Vehicle Users in Idaho: Distribution and Activity,The bulletin provides an overview of part of a study of off-road vehicle users in Idaho. It reports on the characteristics of off-road vehicle owners and estimates use patterns of off-road vehicle activity.,"Mitchell, John E.; Schonmaker, John H.; Propst, Dennis B.",,1977-08-01,all-terrain vehicles;,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 20, August 1977","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b20,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/153,153,27.pdf,/fwres/image/27.pdf
Endangered and Threatened Plants of Idaho: A Summary of Current Knowledge,The bulletin discusses a basis for changing the proposed status of some endangered and threatened plants taxa in Idaho and for reinforcing the assigned status of others.,"Henderson, D.M.; Johnson, F.D.; Packard, P.; Steele, R.",,1977-06-01,endangered species; threatened species;,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 21, June 1977","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; Idaho Natural Areas Council;",uifwre-b21,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/154,154,28.pdf,/fwres/image/28.pdf
Outbreaks of Mountain Pine Beetle in Lodgepole Pine Forests -- 1945 to 1975,The bulletin describes the methods used to map historical locations of mountain pine beetles between 1945 and 1975 and tables infestations between 1910 and 1975.,"Crookston, Nicholas L.; Stark, Ronald W.; Adams, David L.",,1977-11-01,Dendroctonus ponderosae;,"University of Idaho Forest, Wildlife and Range Experiment Station","Bulletin - Number 22, November 1977","Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-b22,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/155,155,29.pdf,/fwres/image/29.pdf
Tenth Annual Report For the Fiscal Year 1957-1958,"The report's introduction mentions the beginning of a forest genetics program conducted by Dr. Lawrence Inman. It contains summaries and updates on research projects, including a page of nematode illustrations.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1958-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - September 1, 1958 (Tenth)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry;,uifwre-ar10,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/156,156,3.pdf,/fwres/image/3.pdf
